key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,Experiment,root_syllable,phonemes_firstsyllable,spatial_verb,Number_of_morphemes,lexical_freq,lex_freq_lexesp,Item_Type,list,wav,CorrResp,CorrRespNumb,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,CorRespNumb,key_resp_5.keys,key_resp_5.rt
space,61.903,y,3.264,1,1,2.127,0,0,0,0,1,casita,practica,NA,NA,NA,NA,NA,NA,NA,NA,casita.wav,left,1,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,,,,,,,,,,,
,,,,1,1,0.976,0,1,1,1,1,acabar,practica,NA,NA,NA,NA,NA,NA,NA,NA,acabar.wav,left,1,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,,,,,,,,,,,
,,,,1,0,0.976,0,2,2,2,1,arujar,practica,NA,NA,NA,NA,NA,NA,NA,NA,arujar.wav,right,0,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,,,,,,,,,,,
,,,,1,1,0.593,0,3,3,3,1,gatito,practica,NA,NA,NA,NA,NA,NA,NA,NA,gatito.wav,left,1,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,,,,,,,,,,,
,,,,0,1,2.527,0,4,4,4,1,deslopar,practica,NA,NA,NA,NA,NA,NA,NA,NA,deslopar.wav,right,0,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,,,,,,,,,,,
,,,,0,1,0.785,0,5,5,5,1,masuto,practica,NA,NA,NA,NA,NA,NA,NA,NA,masuto.wav,right,0,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,,,,,,,,,,,
,,,,,,,,,,,,solcito,morfosyllable,coincidente,3,NA,NA,NA,NA,word,"1,2and3",solcito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,k,13.682,0,0,0.858,0,0,0,0,1,1,,
,,,,,,,,,,,,destrudar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",destrudar.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,1.284,0,1,1,1,1,0,,
,,,,,,,,,,,,didiais,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,3,didiais.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,3.146,0,2,2,2,1,0,,
,,,,,,,,,,,,tosias,InflectionalVerbs,NA,NA,NA,3,Low,1.42,word,3,tosias.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.8,0,3,3,3,1,1,,
,,,,,,,,,,,,teruto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",teruto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,0.777,0,4,4,4,1,0,,
,,,,,,,,,,,,uavuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",uavuto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,0,1.058,0,5,5,5,1,0,,
,,,,,,,,,,,,cutia,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,3,cutia.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,1.775,0,6,6,6,1,0,,
,,,,,,,,,,,,parias,InflectionalVerbs,NA,NA,NA,3,Low,5.86,word,3,parias.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.646,0,7,7,7,1,1,,
,,,,,,,,,,,,fuciais,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,3,fuciais.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,2.2,0,8,8,8,1,0,,
,,,,,,,,,,,,aberfar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",aberfar.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,0,0.644,0,9,9,9,1,0,,
,,,,,,,,,,,,anular,visuospatial,NA,NA,no,NA,NA,NA,word,"1,2and3",anular.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.858,0,10,10,10,1,1,,
,,,,,,,,,,,,arrastrar,visuospatial,NA,NA,yes,NA,NA,NA,word,"1,2and3",arrastrar.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.672,0,11,11,11,1,1,,
,,,,,,,,,,,,ramita,morfosyllable,diferente,NA,NA,NA,NA,NA,word,"1,2and3",ramita.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.494,0,12,12,12,1,1,,
,,,,,,,,,,,,vendiais,InflectionalVerbs,NA,NA,NA,4,High,22.74,word,3,vendiais.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,2.056,0,13,13,13,1,1,,
,,,,,,,,,,,,flunsuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",flunsuto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,0.633,0,14,14,14,1,0,,
,,,,,,,,,,,,kirruto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",kirruto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,0.578,0,15,15,15,1,0,,
,,,,,,,,,,,,agromar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",agromar.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,0,0.739,0,16,16,16,1,0,,
